iter	Passed	Remaining
726	2592	973
727	2595	969
728	2600	966
729	2603	963
730	2608	959
731	2612	956
732	2614	952
733	2617	948
734	2620	944
735	2624	941
736	2627	937
737	2630	933
738	2633	930
739	2636	926
740	2640	922
741	2644	919
742	2648	916
743	2651	912
744	2654	908
745	2657	904
746	2660	901
747	2663	897
748	2666	893
749	2669	889
750	2672	886
751	2675	882
752	2678	878
753	2681	874
754	2683	870
755	2686	867
756	2689	863
757	2692	859
758	2695	855
759	2699	852
760	2702	848
761	2705	845
762	2708	841
763	2711	837
764	2714	833
765	2717	830
766	2720	826
767	2724	822
768	2727	819
769	2730	815
770	2733	811
771	2736	808
772	2739	804
773	2742	800
774	2745	797
775	2748	793
776	2751	789
777	2754	785
778	2756	782
779	2759	778
780	2762	774
781	2765	770
782	2768	767
783	2771	763
784	2774	759
785	2777	756
786	2780	752
787	2783	748
788	2785	745
789	2788	741
790	2792	737
791	2796	734
792	2799	730
793	2802	727
794	2805	723
795	2808	719
796	2811	716
797	2814	712
798	2817	708
799	2820	705
800	2823	701
801	2826	697
802	2829	694
803	2832	690
804	2835	686
805	2838	683
806	2840	679
807	2843	675
808	2846	672
809	2849	668
810	2852	664
811	2854	660
812	2857	657
813	2860	653
814	2863	649
815	2866	646
816	2869	642
817	2872	639
818	2875	635
819	2879	631
820	2882	628
821	2885	624
822	2888	621
823	2891	617
824	2895	614
825	2898	610
826	2901	606
827	2904	603
828	2907	599
829	2910	596
830	2914	592
831	2917	589
832	2920	585
833	2923	581
834	2926	578
835	2929	574
836	2932	571
837	2935	567
838	2939	564
839	2942	560
840	2945	556
841	2948	553
842	2951	549
843	2955	546
844	2958	542
845	2961	539
846	2964	535
847	2967	531
848	2970	528
849	2973	524
850	2976	521
851	2980	517
852	2984	514
853	2987	510
854	2990	507
855	2993	503
856	2997	500
857	3000	496
858	3003	492
859	3005	489
860	3008	485
861	3011	482
862	3014	478
863	3017	474
864	3020	471
865	3023	467
866	3026	464
867	3029	460
868	3032	457
869	3035	453
870	3038	449
871	3040	446
872	3043	442
873	3046	439
874	3049	435
875	3051	432
876	3055	428
877	3057	424
878	3060	421
879	3063	417
880	3065	414
881	3068	410
882	3071	406
883	3074	403
884	3077	399
885	3080	396
886	3083	392
887	3087	389
888	3090	385
889	3093	382
890	3097	378
891	3100	375
892	3103	371
893	3106	368
894	3109	364
895	3112	361
896	3116	357
897	3119	354
898	3122	350
899	3126	347
900	3129	343
901	3132	340
902	3135	336
903	3139	333
904	3142	329
905	3145	326
906	3148	322
907	3151	319
908	3155	315
909	3158	312
910	3161	308
911	3164	305
912	3167	301
913	3170	298
914	3173	294
915	3176	291
916	3180	287
917	3183	284
918	3186	280
919	3190	277
920	3193	273
921	3196	270
922	3198	266
923	3202	263
924	3205	259
925	3208	256
926	3211	252
927	3214	249
928	3217	245
929	3220	242
930	3223	238
931	3226	235
932	3229	231
933	3232	228
934	3235	224
935	3238	221
936	3241	217
937	3243	214
938	3247	210
939	3250	207
940	3253	203
941	3256	200
942	3258	196
943	3261	193
944	3264	190
945	3267	186
946	3270	183
947	3273	179
948	3277	176
949	3280	172
950	3283	169
951	3286	165
952	3289	162
953	3292	158
954	3295	155
955	3297	151
956	3300	148
957	3303	144
958	3306	141
959	3309	137
960	3312	134
961	3315	130
962	3318	127
963	3320	124
964	3323	120
965	3326	117
966	3329	113
967	3331	110
968	3334	106
969	3337	103
970	3340	99
971	3342	96
972	3345	92
973	3348	89
974	3351	85
975	3353	82
976	3356	79
977	3359	75
978	3362	72
979	3364	68
980	3367	65
981	3371	61
982	3373	58
983	3376	54
984	3379	51
985	3382	48
986	3385	44
987	3388	41
988	3391	37
989	3394	34
990	3396	30
991	3399	27
992	3402	23
993	3405	20
994	3407	17
995	3409	13
996	3412	10
997	3415	6
998	3418	3
999	3420	0
